X,Y,id
269.40082642738287,216.62234916138806,node_discover_observation
215.85437682167324,232.46706462874985,node_describe_observation_item
274.36374421750867,105.82807660688806,node_describe_observation_aggregate
373.51867345945607,251.5244032745502,node_identify_main_cause_item
256.7069120548481,159.33232132913517,node_identify_main_cause_aggregate
357.3085576842648,209.99587429348648,node_collect_evidence
400.9963711722565,83.88672736164148,node_compare_entities
297.665839327553,63.319411928338184,node_explain_differences
368.33722330076506,161.744537774623,node_evaluate_hypothesis
122.25541351435469,59.75569844404312,node_knowledge_injection
268.94402556500165,279.8933143634228,node_sharing_findings
74.25271875654991,239.78916994330376,node_parameter_setting
189.90196291054968,176.58294650247768,node_data_filtering
168.94903239588186,71.60913924725065,node_modeling_and_enhancement
445.17760045431305,207.3457351685266,node_flexibility_and_scalability
304.41322315154866,12.711003046094635,node_interactivity
419.0951028299789,7.084969278989867,node_ensuring_data_quality
176.2454015424916,339.83596549121074,node_tables
529.2854210522535,210.26041657218255,node_network_and_trees
258.09932425395624,335.5377830902367,node_fields
230.15631855526092,69.28305648854676,node_geometry
445.8609057928897,178.05878309114792,node_clusters_and_sets_and_lists
247.5476540596686,399.075209198452,node_textual
366.6812570187967,132.61804007880303,node_temporal
373.5399348750345,311.1973771664813,node_media
113.18911737991795,309.226578754686,node_categorical
498.5818459294162,288.2125414342577,node_ordinal
366.07757349641247,398.2130763833074,node_quantitative
234.10226096955955,9.274702621576434,node_parameter
417.2710818781862,341.00600724306867,node_sequential
-500.37811485603925,567.7223552545267,node_diverging
841.2453548571411,-397.7980098858571,node_cyclic
514.4508142425487,49.6847532246134,node_real_time_input
212.74780533090052,143.68000171619443,node_user_input
551.5369170408568,497.8811697034558,node_algorithmic_calculation
225.97155836892762,596.8521006231193,node_modeling
405.7223171322933,51.07803800462802,node_clustering_and_grouping
414.8575781001946,405.9197972138826,node_excluding
463.0370162095887,130.13363363337862,node_sampling
582.6949495334659,184.7778203013862,node_dimensionality_reduction
610.2102092584007,386.74878001158856,node_feature_selection
207.34702784619125,398.1708077236664,node_retrieval
675.8619048039297,365.4185487617839,node_similarity_calculation
154.19183229607324,462.7722926835497,node_explainability
470.48987961259496,4.132451039808014,node_rectification
545.27477202641,-21.838819985699836,node_parameter_tuning
552.7117112912733,418.3783346495791,node_wrangling
636.5393070155505,290.3956675123482,node_table
260.02736297993505,525.2534228185888,node_bar
322.05118254288965,294.4943782903666,node_text
265.6480061098041,687.6125285957182,node_network
382.95888868240047,635.0540542111678,node_contour
315.92179457783004,434.0792017945153,node_arc
382.63607126289304,564.0636586263691,node_image
70.57448715424883,202.87882513979318,node_area
624.4430893375369,348.7749039600604,node_tree
188.5932131611431,501.8836688000182,node_circle
465.6846178487737,413.81099629070957,node_parallelcoordinates
451.66652195244967,598.0189103102273,node_scatter
133.8170478011447,597.6441518690121,node_donut
545.9399080034074,331.626999829418,node_boxplot
255.31487640791676,633.4932078193864,node_glyph
167.03462005774745,294.7532751006798,node_heatmap
547.3700316747374,554.4336984852263,node_video
339.02922584793725,498.51386502483604,node_link
451.3286906437461,315.1838079288954,node_line
440.0212926350898,646.8649524900504,node_vector
126.95485348547373,412.9657160499296,node_pie
499.15349026454794,470.02521991780145,node_matrix
-1.7249247056420867,442.9647498488321,node_map
-16.32990933815568,310.42300503212334,node_radar
612.1400012569114,603.5530405126254,node_hexagonarea
314.41079240896545,155.55868195823152,node_3Dstructure
433.73149953234275,551.0794917350228,node_sankey
12.003518248999463,530.5677329197161,node_flow
36.22726469441292,376.8172052384655,node_bubble
634.3258232548026,445.7896909378245,node_icicle
22.728036961846406,218.20566503379015,node_radialbar
512.8757952854488,701.514802167969,node_animation
594.2447572666268,672.1808194507078,node_rectangle
107.98073180776875,484.18353492145275,node_chord
608.0173421246576,151.51740637244197,node_others
148.70884510653718,717.9392520003018,node_stripe
354.63218678991916,81.46711614958687,node_point
312.21169393793235,694.5720693116599,node_wordcloud
400.71164738460516,719.8217068381518,node_treemap
409.54235706161137,759.2232395258128,node_violet_graph
307.90273497497765,557.4383105096874,node_filtering
66.7694698001777,444.30993885682994,node_selecting
569.7911667705544,253.40885538078845,node_abstract_elaborate
213.24172787130482,558.9048333725111,node_overview_and_explore
563.992117967198,382.1649594784809,node_connect_relate
496.6870523044463,566.4179845404786,node_reconfigure
279.61723991269105,457.52840370126546,node_encode
112.22097856345829,236.18325940664093,node_history
444.89000303666614,476.2681961488693,node_extraction_of_features
140.60842761705922,173.9540160847812,node_participation_collaboration
488.8772199544747,121.53220825286971,node_gamification
